kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:10 +0000] "GET /static/compiled/signup_photo.jpg HTTP/1.1" 200 (240955 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/apple-touch-icon-114x114.png HTTP/1.1" 404 (555 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/favicon.ico HTTP/1.1" 200 (15086 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/apple-touch-icon-72x72-precomposed.png HTTP/1.1" 404 (555 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/apple-touch-icon.png HTTP/1.1" 404 (555 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:11 +0000] "GET /static/img/apple-touch-icon-precomposed.png HTTP/1.1" 404 (555 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:32 +0000] "POST /accounts/login/ HTTP/1.1" 302 (0 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:32 +0000] "GET / HTTP/1.1" 200 (952 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:32 +0000] "GET /jsi18n/ HTTP/1.1" 200 (42220 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:33 +0000] "GET /environment/ HTTP/1.1" 200 (11602 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:33 +0000] "GET /me/ HTTP/1.1" 200 (522 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:33 +0000] "GET /environment/ HTTP/1.1" 200 (11602 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:33 +0000] "GET /api/v2/permissions/ HTTP/1.1" 200 (2477 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
